# PoE 2 Türkçe Terim Sözlüğü
#
# Biçim:  İngilizce <TAB> Türkçe <TAB> Kategori <TAB> Not
# Satır başındaki # yorum satırıdır, hat tarafından yok sayılır.
#
# Bu dosya çeviri isteminin içine gömülür. Buradaki karşılıklar bağlayıcıdır;
# model bunların dışına çıkamaz. Değiştirmek istediğin satırı düzenleyip
# çeviriyi yeniden çalıştırmak yeterli.
#
# ÖNEMLİ: Türkçe sütunu İngilizcesiyle AYNI ise "olduğu gibi bırak" demektir.
# Eşya, yetenek ve para birimi adları böyle işaretlidir — açıklama metinlerinin
# içinde geçtiklerinde de çevrilmezler. Bu adların hangi kolonlarda tutulduğu
# ve neden dışarıda bırakıldığı için bkz. ceviri-disi.txt
#
# ---------------------------------------------------------------------------
# DİLBİLGİSİ KURALLARI (modele ayrıca iletilecek)
# ---------------------------------------------------------------------------
# 1. Yüzde kalıbı:  "#% increased Fire Damage"  ->  "%# artırılmış Ateş Hasarı"
#    Türkçede yüzde işareti sayıdan ÖNCE gelir. "50%" değil "%50".
# 2. "more/less" ile "increased/reduced" oyunda farklı çarpanlardır, ayrı
#    çevrilmeli: increased=artırılmış, more=daha fazla (asla ikisi de "artan").
# 3. Terimler cümle içinde büyük harfle başlar (oyunun kendi üslubu):
#    "Ateş Hasarı", "Enerji Kalkanı".
# 4. İkinci tekil şahıs kullan: "Kazanırsın" değil "Kazanırsınız" değil ->
#    oyunun üslubu doğrudan hitap: "Kazanırsın". Anlatı metinlerinde bu
#    kural gevşer, doğal Türkçe tercih edilir.
# 5. Eklerde ünlü uyumuna dikkat: "Ateş Hasarı'nı" değil "Ateş Hasarını".
#
# ---------------------------------------------------------------------------

# === NİTELİKLER =============================================================
Strength	Güç	nitelik
Dexterity	Çeviklik	nitelik
Intelligence	Zekâ	nitelik
Spirit	Ruh	nitelik	PoE2'ye özgü kaynak
Attribute	Nitelik	nitelik
Attributes	Nitelikler	nitelik

# === KAYNAKLAR VE SAVUNMA ===================================================
Life	Can	savunma
Mana	Mana	savunma	Çevrilmiyor, yerleşik terim
Energy Shield	Enerji Kalkanı	savunma
Armour	Zırh	savunma
Evasion	Kaçınma	savunma
Evasion Rating	Kaçınma Değeri	savunma
Block	Blok	savunma
Block Chance	Blok Şansı	savunma
Resistance	Direnç	savunma
Resistances	Dirençler	savunma
Fire Resistance	Ateş Direnci	savunma
Cold Resistance	Soğuk Direnci	savunma
Lightning Resistance	Yıldırım Direnci	savunma
Chaos Resistance	Kaos Direnci	savunma
Maximum Resistance	Azami Direnç	savunma
Ward	Koruma	savunma
Runic Ward	Runik Koruma	savunma
Regeneration	Yenilenme	savunma
Recovery	Geri Kazanım	savunma
Leech	Emme	savunma
Recoup	Telafi	savunma
Reservation	Rezervasyon	savunma
Unreserved	Rezerve Edilmemiş	savunma

# === HASAR TÜRLERİ ==========================================================
Damage	Hasar	hasar
Physical	Fiziksel	hasar
Physical Damage	Fiziksel Hasar	hasar
Fire	Ateş	hasar
Fire Damage	Ateş Hasarı	hasar
Cold	Soğuk	hasar
Cold Damage	Soğuk Hasarı	hasar
Lightning	Yıldırım	hasar
Lightning Damage	Yıldırım Hasarı	hasar
Chaos	Kaos	hasar
Chaos Damage	Kaos Hasarı	hasar
Elemental	Elemental	hasar
Elemental Damage	Elemental Hasar	hasar
Damage Types	Hasar Türleri	hasar
Damage over Time	Zamana Yayılı Hasar	hasar
Hit	Vuruş	hasar
